Make,Type,Model Type,Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Year
Hyundai,Export,PC,Grandeur (GN7 HEV),0,0,0,0,0,0,0,0,0,0,0,0,0,2022
Hyundai,Export,PC,IONIQ 6 (CE),0,0,0,1,0,2,12,2,0,12,0,3503,3532,2022
Hyundai,Export,PC,G70 (IK),1796,1034,1295,881,1012,1065,1247,919,1263,1421,1542,865,14340,2022
Hyundai,Export,PC,G70 S/B (IK S/B),0,0,0,1,2,3,2,17,10,20,21,22,98,2022
Hyundai,Export,PC,G80 (RG3),519,823,406,445,601,440,1034,623,786,571,658,267,7173,2022
Hyundai,Export,PC,G80 (RG3 EV),0,9,18,165,98,218,99,64,258,249,146,27,1351,2022
Hyundai,Export,PC,G90 (HI),2,0,0,0,0,0,0,0,0,0,0,0,2,2022
Hyundai,Export,PC,G90 (RS4),5,1,0,1,42,177,359,260,248,168,117,316,1694,2022
Hyundai,Export,RV,Venue (QX),4950,4307,4500,5067,4975,5403,5331,3017,4811,5953,5671,5588,59573,2022
Hyundai,Export,RV,Kona (OS),10691,9958,11442,10651,11205,5252,11062,9666,11144,11709,12681,14283,129744,2022
Hyundai,Export,RV,Kona (OS HEV),3844,2921,2964,1777,2873,1917,2667,3146,2566,2452,2820,2433,32380,2022
Hyundai,Export,RV,Kona (OS EV),1525,1273,899,2193,2325,1709,2384,1966,2479,2707,2786,3604,25850,2022
Hyundai,Export,RV,Kona N (OS N),600,421,383,544,607,470,528,854,497,471,569,766,6710,2022
Hyundai,Export,RV,Tucson (NX4),3165,4953,5070,8966,8048,6657,5744,7102,6883,6793,8661,7201,79243,2022
Hyundai,Export,RV,Tucson (NX4 HEV),2175,1738,1874,2351,3395,3269,2808,2918,3424,3959,3724,3785,35420,2022
Hyundai,Export,RV,Tucson (NX4 PHEV),361,399,293,384,611,598,40,267,112,0,49,127,3241,2022
Hyundai,Export,RV,NEXO (FE),49,2,0,6,63,27,29,34,15,56,80,2,363,2022
Hyundai,Export,RV,IONIQ 5 (NE),1727,6219,4477,6881,6076,3742,5551,5842,6093,6366,7940,9554,70468,2022
Hyundai,Export,RV,Santa-Fe (TM),2962,1959,1788,2437,2501,2516,2550,2468,2382,2626,3187,2492,29868,2022
Hyundai,Export,RV,Santa-Fe (TM HEV),814,910,897,681,1287,1425,1476,1227,1178,1475,950,586,12906,2022
Hyundai,Export,RV,Santa-Fe (TM PHEV),815,775,522,748,1076,1006,174,444,296,334,349,499,7038,2022
Hyundai,Export,RV,Palisade (LX2),8609,7531,9738,9417,7316,7800,9143,7110,7219,8296,9558,9953,101690,2022
Hyundai,Export,RV,GV60 (JW),40,107,446,287,459,455,513,374,807,727,566,611,5392,2022
Hyundai,Export,RV,GV70 (JK),2143,2178,1487,2036,2146,2140,2168,2427,2140,2617,2116,2737,26335,2022
Hyundai,Export,RV,GV70 EV (JK EV),1,0,0,0,0,116,60,26,117,199,87,231,837,2022
Hyundai,Export,RV,GV80 (JX),2026,1558,2021,1493,1891,1775,2241,1955,2059,1792,2071,1979,22861,2022
Hyundai,Export,CV,LCV,3455,3013,2185,3585,3479,3503,2999,3142,2987,3586,3237,3979,39150,2022
Hyundai,Export,CV,HCV,865,750,782,374,987,857,876,739,886,908,888,904,9816,2022
