Make,Type,Model Type,Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Year
Hyundai,Domestic,PC,Sonata (LF),1118.0,1254.0,2006.0,1928.0,1078.0,2353.0,827.0,850.0,1428.0,2116.0,330.0,1988.0,17276.0,2021
Hyundai,Domestic,PC,Sonata (HEV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Hyundai,Domestic,PC,Sonata (PHEV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Hyundai,Domestic,PC,Sonata (DN8),2114.0,2316.0,3806.0,4598.0,3538.0,3112.0,2348.0,3173.0,3063.0,3394.0,3794.0,3141.0,38397.0,2021
Hyundai,Domestic,PC,Sonata (DN8 HEV),380.0,616.0,421.0,542.0,515.0,662.0,537.0,663.0,512.0,626.0,1055.0,907.0,7436.0,2021
Hyundai,Domestic,PC,i40 (VF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Hyundai,Domestic,PC,Grandeur (IG),5844.0,6155.0,6588.0,7293.0,5769.0,6830.0,3936.0,1968.0,1293.0,6311.0,4582.0,5538.0,62107.0,2021
Hyundai,Domestic,PC,Grandeur (HEV),2237.0,2408.0,2629.0,2391.0,2033.0,2653.0,1311.0,1717.0,1923.0,3137.0,2336.0,2202.0,26977.0,2021
Hyundai,Domestic,PC,G70,1001.0,297.0,654.0,625.0,918.0,942.0,616.0,580.0,385.0,372.0,552.0,487.0,7429.0,2021
Hyundai,Domestic,PC,G80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Hyundai,Domestic,PC,G80 (RG3),5650.0,2714.0,5252.0,6010.0,5584.0,5357.0,4993.0,3576.0,3757.0,5583.0,3671.0,5964.0,58111.0,2021
